Date,Cash,Portfolio_Value,Total_Equity
2022-11-01,12.7,27412.83,27425.53
2022-11-03,12.7,27483.3,27496.0
2022-11-04,12.7,27702.0,27714.7
2022-11-07,12.7,27026.46,27039.16
2022-11-08,12.7,27288.9,27301.6
2022-11-09,12.7,26669.25,26681.95
2022-11-10,12.7,25782.3,25795.0
2022-11-11,12.7,26377.65,26390.35
2022-11-14,12.7,26545.32,26558.02
2022-11-16,12.7,25767.72,25780.42
2022-11-17,12.7,25682.67,25695.37
2022-11-18,12.7,25478.55,25491.25
2022-11-21,12.7,25777.44,25790.14
2022-11-22,12.7,25532.01,25544.71
2022-11-23,12.7,25573.32,25586.02
2022-11-24,12.7,26292.6,26305.3
2022-11-25,12.7,25532.01,25544.71
2022-11-28,12.7,25551.45,25564.15
2022-11-29,12.7,26071.47,26084.17
2022-11-30,12.7,26384.94,26397.64
2022-12-01,12.7,26015.58,26028.28
2022-12-02,12.7,26231.85,26244.55
2022-12-05,12.7,25668.09,25680.79
2022-12-06,12.7,25937.82,25950.52
2022-12-07,12.7,25658.37,25671.07
2022-12-08,12.7,25167.51,25180.21
2022-12-09,12.7,25247.7,25260.4
2022-12-12,12.7,24737.4,24750.1
2022-12-13,12.7,24372.9,24385.6
2022-12-14,12.7,24470.1,24482.8
2022-12-15,12.7,24421.5,24434.2
2022-12-16,12.7,24154.2,24166.9
2022-12-19,12.7,24632.91,24645.61
2022-12-20,12.7,25162.65,25175.35
2022-12-21,12.7,25240.41,25253.11
2022-12-22,12.7,25254.99,25267.69
2022-12-23,12.7,25758.0,25770.7
2022-12-26,12.7,25551.45,25564.15
2022-12-27,12.7,25490.7,25503.4
2022-12-28,12.7,25952.4,25965.1
2022-12-29,12.7,25745.85,25758.55
2023-01-02,12.7,24939.09,24951.79
2023-01-03,12.7,24416.64,24429.34
2023-01-04,12.7,24766.56,24779.26
2023-01-05,12.7,25337.61,25350.31
2023-01-06,12.7,25636.5,25649.2
2023-01-09,12.7,25600.05,25612.75
2023-01-10,12.7,26044.74,26057.44
2023-01-11,12.7,26511.3,26524.0
2023-01-12,12.7,26307.18,26319.88
2023-01-13,12.7,26086.05,26098.75
2023-01-16,12.7,25629.21,25641.91
2023-01-17,12.7,26195.4,26208.1
2023-01-18,12.7,26324.19,26336.89
2023-01-19,12.7,26513.73,26526.43
2023-01-20,12.7,26353.35,26366.05
2023-01-23,12.7,26219.7,26232.4
2023-01-24,12.7,26591.49,26604.19
2023-01-25,12.7,26887.95,26900.65
2023-01-26,12.7,26832.06,26844.76
2023-01-27,12.7,26341.2,26353.9
2023-01-30,12.7,26414.1,26426.8
2023-01-31,12.7,26691.12,26703.82
2023-02-01,12.7,26341.2,26353.9
2023-02-02,12.7,25830.9,25843.6
2023-02-03,12.7,25483.41,25496.11
2023-02-06,12.7,25575.75,25588.45
2023-02-07,12.7,25296.3,25309.0
2023-02-08,12.7,25840.62,25853.32
2023-02-09,12.7,25378.92,25391.62
2023-02-10,12.7,25454.25,25466.95
2023-02-13,12.7,25629.21,25641.91
2023-02-14,12.7,25376.49,25389.19
2023-02-15,12.7,25770.15,25782.85
2023-02-16,12.7,25879.5,25892.2
2023-02-17,12.7,25651.08,25663.78
2023-02-22,12.7,25174.8,25187.5
2023-02-23,12.7,25308.45,25321.15
2023-02-24,12.7,24878.34,24891.04
