Date,Cash,Portfolio_Value,Total_Equity
2022-02-25,33.47,35636.07,35669.54
2022-03-02,33.47,35701.34,35734.82
2022-03-03,8.48,35791.54,35800.03
2022-03-04,8.48,35217.03,35225.52
2022-03-07,8.48,33677.61,33686.1
2022-03-08,8.48,33523.94,33532.43
2022-03-09,8.48,34464.86,34473.34
2022-03-10,8.48,34299.94,34308.43
2022-03-11,8.48,33495.69,33504.17
2022-03-14,8.48,33436.11,33444.6
2022-03-15,8.48,33328.13,33336.62
2022-03-16,8.48,33906.27,33914.75
2022-03-17,8.48,34120.25,34128.73
2022-03-18,8.48,34326.46,34334.94
2022-03-21,8.48,34743.04,34751.53
2022-03-22,8.48,35010.19,35018.68
2022-03-23,8.48,34793.4,34801.89
2022-03-24,8.48,35239.76,35248.24
2022-03-25,8.48,35295.78,35304.26
2022-03-28,8.48,35052.77,35061.25
2022-03-29,6.86,35417.03,35423.89
2022-03-30,9.24,35538.78,35548.02
2022-03-31,9.24,35356.52,35365.76
2022-04-01,12.67,35487.46,35500.13
2022-04-04,119.05,35311.59,35430.64
2022-04-05,1.78,34589.07,34590.86
2022-04-06,36.61,34118.63,34155.25
2022-04-07,54.17,34539.87,34594.05
2022-04-08,54.17,34692.64,34746.81
2022-04-11,54.17,34282.38,34336.55
2022-04-12,54.17,34136.32,34190.5
2022-04-13,54.17,34441.28,34495.46
2022-04-14,54.17,34693.16,34747.34
2022-04-18,54.17,35327.93,35382.1
2022-04-19,54.17,35545.9,35600.07
2022-04-20,54.17,35426.7,35480.87
2022-04-22,54.17,34768.58,34822.75
2022-04-25,54.17,35235.49,35289.66
2022-04-26,54.17,35201.05,35255.23
2022-04-27,54.17,35515.58,35569.76
2022-04-28,54.17,35447.07,35501.24
2022-04-29,54.17,36302.13,36356.31
2022-05-02,54.17,36066.52,36120.7
2022-05-03,54.17,36365.67,36419.84
2022-05-04,54.17,37049.67,37103.85
2022-05-05,54.17,36713.48,36767.65
2022-05-06,54.17,36276.41,36330.58
2022-05-09,54.17,35618.1,35672.28
2022-05-10,54.17,36314.7,36368.87
2022-05-11,54.17,36625.18,36679.36
2022-05-12,5.86,37268.34,37274.21
2022-05-13,5.86,37436.23,37442.1
2022-05-16,5.86,37453.59,37459.45
2022-05-17,5.86,37812.34,37818.21
2022-05-18,5.86,36839.82,36845.69
2022-05-19,5.86,36739.81,36745.67
2022-05-20,5.86,37152.01,37157.87
2022-05-23,5.86,38424.74,38430.61
2022-05-24,5.86,38174.87,38180.73
2022-05-25,5.86,38453.68,38459.54
2022-05-26,5.86,38988.61,38994.47
2022-05-27,5.86,39125.19,39131.06
2022-05-30,5.86,38606.3,38612.17
2022-05-31,5.86,39393.85,39399.71
2022-06-01,5.86,39840.76,39846.63
2022-06-02,5.86,39911.77,39917.63
2022-06-03,5.86,39438.48,39444.35
2022-06-06,5.86,39036.46,39042.32
2022-06-07,5.86,38286.78,38292.64
2022-06-08,5.86,37808.88,37814.75
2022-06-09,5.86,37529.18,37535.04
2022-06-10,5.86,37069.11,37074.98
2022-06-13,5.86,36443.09,36448.95
2022-06-14,5.86,36392.17,36398.03
2022-06-15,5.86,36424.86,36430.73
2022-06-17,5.86,35805.05,35810.91
2022-06-20,5.86,35854.92,35860.78
2022-06-21,5.86,35496.61,35502.47
2022-06-22,5.86,35444.18,35450.05
2022-06-23,5.86,35127.49,35133.35
2022-06-24,5.86,35197.3,35203.16
2022-06-27,5.86,36142.5,36148.37
2022-06-28,5.86,36130.61,36136.47
2022-06-29,5.86,35603.48,35609.34
2022-06-30,5.86,35495.34,35501.2
2022-07-01,5.86,35994.62,36000.48
2022-07-04,5.86,35820.32,35826.18
2022-07-05,5.86,34984.84,34990.71
2022-07-06,5.86,35077.48,35083.34
2022-07-07,5.86,35681.35,35687.22
2022-07-08,5.86,35531.44,35537.31
2022-07-11,5.86,35246.25,35252.12
2022-07-12,5.86,35298.62,35304.48
2022-07-13,5.86,35266.16,35272.02
2022-07-14,5.86,34912.77,34918.63
2022-07-15,5.86,35356.86,35362.72
2022-07-18,5.86,35589.75,35595.61
2022-07-19,5.86,36036.8,36042.66
2022-07-20,5.86,36425.21,36431.08
2022-07-21,5.86,36671.98,36677.85
2022-07-22,5.86,36339.64,36345.51
2022-07-25,5.86,36691.85,36697.71
2022-07-26,5.86,36775.58,36781.44
2022-07-27,5.86,37139.45,37145.32
2022-07-28,5.86,37366.46,37372.32
2022-07-29,5.86,38169.85,38175.71
2022-08-01,5.86,37292.42,37298.28
2022-08-02,5.86,37664.85,37670.71
2022-08-03,5.86,37660.72,37666.58
2022-08-04,5.86,38553.01,38558.88
2022-08-05,5.86,38994.46,39000.33
2022-08-08,5.86,40186.46,40192.33
2022-08-09,5.86,40570.98,40576.84
2022-08-10,5.86,41024.12,41029.98
2022-08-11,5.86,40881.33,40887.2
2022-08-12,5.86,42559.48,42565.34
2022-08-15,5.86,42390.81,42396.67
2022-08-16,5.86,42634.29,42640.16
2022-08-17,5.86,42923.54,42929.4
2022-08-18,5.86,42267.97,42273.84
2022-08-19,5.86,41014.34,41020.2
2022-08-22,5.86,41330.86,41336.72
2022-08-23,5.86,41783.5,41789.37
2022-08-24,5.86,41643.79,41649.65
2022-08-25,5.86,41885.46,41891.33
2022-08-26,5.86,41916.62,41922.49
2022-08-29,5.86,42429.93,42435.8
2022-08-30,5.86,41633.49,41639.35
2022-08-31,5.86,41442.77,41448.63
