Date,Cash,Portfolio_Value,Total_Equity
2018-09-20,1.01,18471.36,18472.37
2018-09-21,1.01,18714.13,18715.15
2018-09-24,1.01,18506.7,18507.72
2018-09-25,1.01,18456.57,18457.58
2018-09-26,1.01,18591.02,18592.03
2018-09-27,1.01,18866.41,18867.42
2018-09-28,1.01,18661.18,18662.2
2018-10-01,1.01,18503.56,18504.57
2018-10-02,1.01,19236.93,19237.94
2018-10-03,1.01,19686.36,19687.37
2018-10-04,1.01,19718.49,19719.5
2018-10-05,1.01,19699.34,19700.35
2018-10-08,1.01,20421.02,20422.03
2018-10-09,1.01,20326.63,20327.64
2018-10-10,1.01,19850.45,19851.46
2018-10-11,1.01,19595.92,19596.93
2018-10-15,1.01,19664.5,19665.52
2018-10-16,1.01,20109.9,20110.91
2018-10-17,1.01,20130.46,20131.47
2018-10-18,1.01,19926.15,19927.17
2018-10-19,1.01,20073.37,20074.38
2018-10-22,1.01,20320.05,20321.06
2018-10-23,1.01,20292.18,20293.2
2018-10-24,1.01,19955.56,19956.58
2018-10-25,1.01,20162.04,20163.05
2018-10-26,1.01,20485.4,20486.42
2018-10-29,1.01,20056.73,20057.75
2018-10-30,1.01,20788.24,20789.26
2018-10-31,1.01,20689.03,20690.04
2018-11-01,1.01,20983.56,20984.57
2018-11-05,1.01,21368.24,21369.25
2018-11-06,1.01,21102.6,21103.61
2018-11-07,1.01,20958.83,20959.85
2018-11-08,1.01,20550.26,20551.27
2018-11-09,1.01,20673.29,20674.3
2018-11-12,1.01,20630.82,20631.83
2018-11-13,1.01,20494.21,20495.23
2018-11-14,1.01,20780.83,20781.84
2018-11-16,1.01,21185.24,21186.25
2018-11-19,1.01,21153.01,21154.02
2018-11-21,1.01,20977.05,20978.07
2018-11-22,1.01,21123.28,21124.29
2018-11-23,1.01,21058.54,21059.55
2018-11-26,1.01,21044.96,21045.97
2018-11-27,1.01,21495.71,21496.72
2018-11-28,1.01,21625.62,21626.63
2018-11-29,1.01,21596.02,21597.03
2018-11-30,1.01,21389.34,21390.35
2018-12-03,1.01,21562.36,21563.37
2018-12-04,1.01,21369.75,21370.77
2018-12-05,1.01,21518.07,21519.08
2018-12-06,1.01,21451.75,21452.76
2018-12-07,1.01,21388.39,21389.41
2018-12-10,1.01,20944.65,20945.66
2018-12-11,1.01,21077.2,21078.21
2018-12-12,1.01,21142.38,21143.39
2018-12-13,1.01,21266.3,21267.31
2018-12-14,1.01,21202.73,21203.74
2018-12-17,1.01,20873.47,20874.48
2018-12-18,1.01,20775.32,20776.33
2018-12-19,1.01,20716.95,20717.96
2018-12-20,1.01,20705.7,20706.71
2018-12-21,1.01,20714.04,20715.06
2018-12-26,1.01,20669.59,20670.6
2018-12-27,1.01,20817.5,20818.51
2018-12-28,1.01,21295.69,21296.7
2019-01-02,1.01,22006.72,22007.73
2019-01-03,1.01,22163.29,22164.3
2019-01-04,1.01,22091.79,22092.81
2019-01-07,1.01,22132.16,22133.17
2019-01-08,1.01,22215.85,22216.86
2019-01-09,1.01,22518.34,22519.35
2019-01-10,1.01,22673.62,22674.64
2019-01-11,1.01,22776.06,22777.07
2019-01-14,1.01,22971.29,22972.31
2019-01-15,1.01,22871.27,22872.28
2019-01-16,1.01,22880.9,22881.91
2019-01-17,1.01,23047.94,23048.95
2019-01-18,1.01,23277.09,23278.1
2019-01-21,1.01,23245.83,23246.84
2019-01-22,1.01,23088.32,23089.33
2019-01-23,1.01,23420.72,23421.73
2019-01-24,1.01,23583.87,23584.88
2019-01-28,1.01,23601.05,23602.07
2019-01-29,1.01,23723.55,23724.56
2019-01-30,1.01,23908.02,23909.03
2019-01-31,1.01,24026.54,24027.55
2019-02-01,1.01,24241.32,24242.33
2019-02-04,1.01,24518.32,24519.34
2019-02-05,1.01,24567.79,24568.8
2019-02-06,1.01,23793.47,23794.48
2019-02-07,1.01,23722.48,23723.49
2019-02-08,1.01,23888.77,23889.78
2019-02-11,1.01,23602.2,23603.21
2019-02-12,1.01,24125.73,24126.74
2019-02-13,1.01,23866.35,23867.37
2019-02-14,1.01,24359.89,24360.9
2019-02-15,1.01,24284.76,24285.77
2019-02-18,1.01,24137.13,24138.14
2019-02-19,1.01,24451.47,24452.49
2019-02-20,1.01,24021.03,24022.04
2019-02-21,1.01,24112.0,24113.01
2019-02-22,1.01,24294.46,24295.47
2019-02-25,1.01,24041.23,24042.24
2019-02-26,1.01,24006.76,24007.78
2019-02-27,1.01,24131.63,24132.65
2019-02-28,1.01,23765.53,23766.54
